vin,deviceId
1HG265VK3576,1
1HG265VK3600,1
1HG265VK3638,1
1HG265VK3676,1
1HG265VK3700,1
1HG265VK3738,1
1HG265VK3776,1
1HG265VK3800,1
1HG265VK3838,1
1HG265VK3876,1
1HG265VK3900,1
1HG265VK3938,1
1HG265VK3976,1
1HG265VK4000,1
1HG265VK4038,1
1HG265VK4076,1
1HG265VK4100,1
1HG265VK4138,1
1HG265VK4176,1
1HG265VK4200,1
1HG265VK4238,1
1HG265VK4276,1
1HG265VK4300,1
1HG265VK4338,1
1HG265VK4376,1
1HG265VK4400,1
1HG265VK4438,1
1HG265VK4476,1
1HG265VK4500,1
1HG265VK4538,1
1HG265VK4576,1
1HG265VK4600,1
1HG265VK4638,1
1HG265VK4676,1
1HG265VK4700,1
1HG265VK4738,1
1HG265VK4776,1
1HG265VK4800,1
1HG265VK4838,1
1HG265VK4876,1
1HG265VK4900,1
1HG265VK4938,1
1HG265VK4976,1
1HG265VK5000,1
1HG265VK5038,1
1HG265VK5076,1
1HG265VK5100,1
1HG265VK5138,1
1HG265VK5176,1
1HG265VK5200,1
1HG265VK5238,1
1HG265VK5276,1
1HG265VK5300,1
1HG265VK5338,1
1HG265VK5376,1
1HG265VK5400,1
1HG265VK5438,1
1HG265VK5476,1
1HG265VK5500,1
1HG265VK5538,1
1HG265VK5576,1
1HG265VK5600,1
1HG265VK5638,1
1HG265VK5676,1
1HG265VK5700,1
1HG265VK5738,1
1HG265VK5776,1
1HG265VK5800,1
1HG265VK5838,1
1HG265VK5876,1
1HG265VK5900,1
1HG265VK5938,1
1HG265VK5976,1
1HG265VK6000,1
1HG265VK6038,1
1HG265VK6076,1
1HG265VK6100,1
1HG265VK6138,1
1HG265VK6176,1
1HG265VK6200,1
1HG265VK6238,1
1HG265VK6276,1
1HG265VK6300,1
1HG265VK6338,1
1HG265VK6376,1
1HG265VK6400,1
1HG265VK6438,1
1HG265VK6476,1
1HG265VK6500,1
1HG265VK6538,1
1HG265VK6576,1
1HG265VK6600,1
1HG265VK6638,1
1HG265VK6676,1
1HG265VK6700,1
1HG265VK6738,1
1HG265VK6776,1
1HG265VK6800,1
1HG265VK6838,1
1HG265VK6876,1
1HG265VK6900,1
1HG265VK6938,1
1HG265VK6976,1
1HG265VK7000,1
1HG265VK7038,1
1HG265VK7076,1
1HG265VK7100,1
1HG265VK7138,1
1HG265VK7176,1
1HG265VK7200,1
1HG265VK7238,1
1HG265VK7276,1
1HG265VK7300,1
1HG265VK7338,1
1HG265VK7376,1
1HG265VK7400,1
1HG265VK7438,1
1HG265VK7476,1
1HG265VK7500,1
1HG265VK7538,1
1HG265VK7576,1
1HG265VK7600,1
1HG265VK7638,1
1HG265VK7676,1
1HG265VK7700,1
1HG265VK7738,1
1HG265VK7776,1
1HG265VK7800,1
1HG265VK7838,1
1HG265VK7876,1
1HG265VK7900,1
1HG265VK7938,1
1HG265VK7976,1
1HG265VK8000,1
1HG265VK8038,1
1HG265VK8076,1
1HG265VK8100,1
1HG265VK8138,1
1HG265VK8176,1
1HG265VK8200,1
1HG265VK8238,1
1HG265VK8276,1
1HG265VK8300,1
1HG265VK8338,1
1HG265VK8376,1
1HG265VK8400,1
1HG265VK8438,1
1HG265VK8476,1
1HG265VK8500,1
1HG265VK8538,1
1HG265VK8576,1
1HG265VK8600,1
1HG265VK8638,1
1HG265VK8676,1
1HG265VK8700,1
1HG265VK8738,1
1HG265VK8776,1
1HG265VK8800,1
1HG265VK8838,1
1HG265VK8876,1
1HG265VK8900,1
1HG265VK8938,1
1HG265VK8976,1
1HG265VK9000,1
1HG265VK9038,1
1HG265VK9076,1
1HG265VK9100,1
1HG265VK9138,1
1HG265VK9176,1
1HG265VK9200,1
1HG265VK9238,1
1HG265VK9276,1
1HG265VK9300,1
1HG265VK9338,1
1HG265VK9376,1
1HG265VK9400,1
1HG265VK9438,1
1HG265VK9476,1
1HG265VK9500,1
1HG265VK9538,1
1HG265VK9576,1
1HG265VK9600,1
1HG265VK9638,1
1HG265VK9676,1
1HG265VK9700,1
1HG265VK9738,1
1HG265VK9776,1
1HG265VK9800,1
1HG265VK9838,1
1HG265VK9876,1
1HG265VK9900,1
1HG265VK9938,1
1HG265VK3577,2
1HG265VK3601,2
1HG265VK3639,2
1HG265VK3677,2
1HG265VK3701,2
1HG265VK3739,2
1HG265VK3777,2
1HG265VK3801,2
1HG265VK3839,2
1HG265VK3877,2
1HG265VK3901,2
1HG265VK3939,2
1HG265VK3977,2
1HG265VK4001,2
1HG265VK4039,2
1HG265VK4077,2
1HG265VK4101,2
1HG265VK4139,2
1HG265VK4177,2
1HG265VK4201,2
1HG265VK4239,2
1HG265VK4277,2
1HG265VK4301,2
1HG265VK4339,2
1HG265VK4377,2
1HG265VK4401,2
1HG265VK4439,2
1HG265VK4477,2
1HG265VK4501,2
1HG265VK4539,2
1HG265VK4577,2
1HG265VK4601,2
1HG265VK4639,2
1HG265VK4677,2
1HG265VK4701,2
1HG265VK4739,2
1HG265VK4777,2
1HG265VK4801,2
1HG265VK4839,2
1HG265VK4877,2
1HG265VK4901,2
1HG265VK4939,2
1HG265VK4977,2
1HG265VK5001,2
1HG265VK5039,2
1HG265VK5077,2
1HG265VK5101,2
1HG265VK5139,2
1HG265VK5177,2
1HG265VK5201,2
1HG265VK5239,2
1HG265VK5277,2
1HG265VK5301,2
1HG265VK5339,2
1HG265VK5377,2
1HG265VK5401,2
1HG265VK5439,2
1HG265VK5477,2
1HG265VK5501,2
1HG265VK5539,2
1HG265VK5577,2
1HG265VK5601,2
1HG265VK5639,2
1HG265VK5677,2
1HG265VK5701,2
1HG265VK5739,2
1HG265VK5777,2
1HG265VK5801,2
1HG265VK5839,2
1HG265VK5877,2
1HG265VK5901,2
1HG265VK5939,2
1HG265VK5977,2
1HG265VK6001,2
1HG265VK6039,2
1HG265VK6077,2
1HG265VK6101,2
1HG265VK6139,2
1HG265VK6177,2
1HG265VK6201,2
1HG265VK6239,2
1HG265VK6277,2
1HG265VK6301,2
1HG265VK6339,2
1HG265VK6377,2
1HG265VK6401,2
1HG265VK6439,2
1HG265VK6477,2
1HG265VK6501,2
1HG265VK6539,2
1HG265VK6577,2
1HG265VK6601,2
1HG265VK6639,2
1HG265VK6677,2
1HG265VK6701,2
1HG265VK6739,2
1HG265VK6777,2
1HG265VK6801,2
1HG265VK6839,2
1HG265VK6877,2
1HG265VK6901,2
1HG265VK6939,2
1HG265VK6977,2
1HG265VK7001,2
1HG265VK7039,2
1HG265VK7077,2
1HG265VK7101,2
1HG265VK7139,2
1HG265VK7177,2
1HG265VK7201,2
1HG265VK7239,2
1HG265VK7277,2
1HG265VK7301,2
1HG265VK7339,2
1HG265VK7377,2
1HG265VK7401,2
1HG265VK7439,2
1HG265VK7477,2
1HG265VK7501,2
1HG265VK7539,2
1HG265VK7577,2
1HG265VK7601,2
1HG265VK7639,2
1HG265VK7677,2
1HG265VK7701,2
1HG265VK7739,2
1HG265VK7777,2
1HG265VK7801,2
1HG265VK7839,2
1HG265VK7877,2
1HG265VK7901,2
1HG265VK7939,2
1HG265VK7977,2
1HG265VK8001,2
1HG265VK8039,2
1HG265VK8077,2
1HG265VK8101,2
